Air temperature(°C),Flow temperature(°C),Heating capacity (kW),Power consumption (kW),EER,Hot water flow rate (m3/h),Water pressure drop (kPa)
15,7,174.8,31.06,5.63,Don’t need these values atm,Don’t need these values atm
20,7,168.9,34.33,4.92,,
25,7,162.8,37.7,4.32,,
30,7,156.5,41.17,3.80,,
35,7,150,44.73,3.35,,
40,7,143.1,48.4,2.96,,
43,7,139,50.64,2.74,,
52,7,49.6,22.8,2.18,,
15,10,191.6,31.61,6.06,,
20,10,185.1,35.02,5.29,,
25,10,178.4,38.52,4.63,,
30,10,171.6,42.11,4.08,,
35,10,164.4,45.79,3.59,,
40,10,157.1,49.55,3.17,,
43,10,151.5,51.24,2.96,,
52,10,54.3,22.8,2.38,,
15,15,179,32.73,5.47,,
20,15,168,36.12,4.65,,
25,15,157,39.64,3.96,,
30,15,146,43.3,3.37,,
35,15,134,47.1,2.85,,
40,15,123,51.04,2.41,,
43,15,117,50.92,2.30,,
52,15,38,22.73,1.67,,
