Air temperature(°C),Flow temperature(°C),Heating capacity (kW),Power consumption (kW),COP,Hot water flow rate (m3/h),Water pressure drop (kPa)
-20,25,104.3,38.53,2.70698157280042,17.9,98
-15,25,118.8,38.98,3.04771677783479,don’t need these values atm,don’t need these values atm
-10,25,135.6,39.2,3.45918367346939,,
-5,25,150,37.59,3.99042298483639,,
0,25,150,32.4,4.62962962962963,,
5,25,150,28.05,5.3475935828877,,
10,25,167.9,27.73,6.05481428056257,,
15,25,187.3,27.16,6.89617083946981,,
20,25,187.3,27.16,6.89617083946981,,
25,25,187.3,27.16,6.89617083946981,,
-20,30,101.6,41.19,2.46661811119204,,
-15,30,117,41.81,2.79837359483377,,
-10,30,134.4,42.19,3.18558900213321,,
-5,30,150,40.92,3.66568914956012,,
0,30,150,35.52,4.22297297297297,,
5,30,150,31.14,4.81695568400771,,
10,30,166.8,30.78,5.41910331384016,,
15,30,185.7,30.4,6.10855263157895,,
20,30,185.7,30.4,6.10855263157895,,
25,30,185.7,30.4,6.10855263157895,,
-20,35,99,44.07,2.24642614023145,,
-15,35,114.8,44.89,2.55736244152372,,
-10,35,132.5,45.45,2.91529152915292,,
-5,35,150,44.88,3.34224598930481,,
0,35,150,39,3.84615384615385,,
5,35,150,34.51,4.34656621269197,,
10,35,165.2,33.96,4.86454652532391,,
15,35,183.8,33.74,5.44754001185537,,
20,35,183.8,33.74,5.44754001185537,,
25,35,183.8,33.74,5.44754001185537,,
-20,40,96.6,47.18,2.04747774480712,,
-15,40,112.4,48.24,2.33001658374793,,
-10,40,129.9,49,2.65102040816327,,
-5,40,149.2,49.45,3.01718907987867,,
0,40,150,42.1,3.56294536817102,,
5,40,150,38.2,3.92670157068063,,
10,40,163.1,37.25,4.37852348993289,,
15,40,181.5,37.19,4.88034417854262,,
20,40,181.5,37.19,4.88034417854262,,
25,40,181.5,37.19,4.88034417854262,,
-20,45,94.4,50.51,1.86893684418927,,
-15,45,109.5,51.86,2.11145391438488,,
-10,45,126.6,52.75,2.4,,
-5,45,145.5,53.49,2.72013460459899,,
0,45,150,47.35,3.16789862724393,,
5,45,150,42.25,3.55029585798817,,
10,45,160.6,40.66,3.94982784062961,,
15,45,178.8,40.75,4.38773006134969,,
20,45,178.8,40.75,4.38773006134969,,
25,45,178.8,40.75,4.38773006134969,,
-20,50,0,0,0,,
-15,50,0,0,0,,
-10,50,122.6,57.01,2.15049991229609,,
-5,50,140.9,57.86,2.43518838575873,,
0,50,147,51.38,2.86103542234332,,
5,50,147.2,45.91,3.20627314310608,,
10,50,157.5,44.19,3.56415478615071,,
15,50,175.7,44.42,3.95542548401621,,
20,50,175.7,44.42,3.95542548401621,,
25,50,175.7,44.42,3.95542548401621,,
-20,55,0,0,0,,
-15,55,0,0,0,,
-10,55,0,0,0,,
-5,55,135.4,62.56,2.16432225063939,,
0,55,142.9,55.43,2.57802633952733,,
5,55,143.6,49.67,2.89108113549426,,
10,55,154,47.83,3.21973656700815,,
15,55,172.2,48.19,3.57335546793941,,
20,55,172.2,48.19,3.57335546793941,,
25,55,0,0,0,,
